Title,Location,Price,Surface Area
Apartment Sweelincklaan,            4837 BA Breda (Ruitersbos)        ,"                €1,085 per month            ",80 m²
Apartment Tramstraat 95,            2551 TT Den Haag (Kom Loosduinen)        ,"                €1,150 per month            ",60 m²
House Boskant 113,            6603 LC Wijchen (Verspreide huizen Heumenseweg-Boskant)        ,"                €1,500 per month            ",130 m²
Apartment Leidsekade 102 B,            3531 HC Utrecht (Lombok-West)        ,                €925 per month            ,30 m²
Apartment Leidsekade 102 C,            3531 HC Utrecht (Lombok-West)        ,"                €1,025 per month            ",35 m²
Apartment Leidsekade 102,            3531 HC Utrecht (Lombok-West)        ,                €745 per month            ,23 m²
Apartment van Arembergelaan 175 A,            2274 BS Voorburg (Voorburg Noord noord)        ,"                €1,550 per month            ",92 m²
Apartment Burgemeester van der Klokkenlaan 113,            5141 EH Waalwijk (Centrum)        ,"                €1,795 per month            ",72 m²
Apartment Jacob van Campenlaan 170,            1222 KR Hilversum (Noord)        ,"                €1,150 per month            ",56 m²
Apartment Jekerstraat,            6211 NT Maastricht (Kommelkwartier)        ,"                €1,250 per month            ",40 m²
Apartment Wal,            5611 GE Eindhoven (Binnenstad)        ,"                €1,250 per month            ",82 m²
Studio Bloemendalsestraat,            3811 ER Amersfoort (Coninckstraat e.o.)        ,                €680 per month            ,30 m²
Apartment Haarlemmerstraat 279,            2312 DT Leiden (Marewijk)        ,"                €1,295 per month            ",62 m²
Apartment Voorstraat 24 BS,            3512 AN Utrecht (Breedstraat en Plompetorengracht en omgeving)        ,"                €1,695 per month            ",80 m²
Apartment Zuid Rundersteeg,            2312 VP Leiden (Marewijk)        ,"                €1,250 per month            ",58 m²
Apartment Ieplaan,            2565 LK Den Haag (Bomenbuurt)        ,"                €1,495 per month            ",74 m²
Apartment Neuweg 29 9,            1211 LV Hilversum (Centrum)        ,"                €1,350 per month            ",67 m²
Studio Daniël Josephus Jittastraat 3,            5042 MR Tilburg (Westermarkt)        ,                €582 per month            ,26 m²
Apartment Oostenburgergracht 29 1,            1018 NA Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,500 per month            ",48 m²
Apartment Willem Dreesplantsoen,            1067 VG Amsterdam (Eendracht)        ,"                €1,750 per month            ",69 m²
House Martijnenstraat,            5711 AV Someren (Someren)        ,"                €1,250 per month            ",125 m²
Apartment Alleenhouderstraat,            5041 LD Tilburg (Bouwmeestersbuurt Zuid)        ,"                €1,499 per month            ",86 m²
Apartment Vergierdeweg 7,            2025 TG Haarlem (Nachtegaalbuurt)        ,"                €1,500 per month            ",100 m²
House Sumatrastraat 5,            8921 JC Leeuwarden (Indische buurt)        ,"                €1,095 per month            ",103 m²
Apartment Peperstraat 4 a,            8911 JA Leeuwarden (De Waag)        ,                €690 per month            ,70 m²
Apartment Clara Visserplaats,            2331 BP Leiden (Dobbewijk-Noord)        ,"                €1,350 per month            ",91 m²
Apartment Scheepmakerspassage,            3011 VH Rotterdam (Stadsdriehoek)        ,"                €1,795 per month            ",81 m²
House Dorpsstraat,            5737 GD Lieshout (Lieshout)        ,"                €2,450 per month            ",250 m²
Apartment Vaartstraat 18 3,            1075 RN Amsterdam (Schinkelbuurt)        ,"                €1,750 per month            ",68 m²
House Van Sijsenplaats,            9724 NV Groningen (Oosterpoort)        ,"                €1,245 per month            ",52 m²
Apartment Duyvesteynhof 21,            3042 BB Rotterdam (Kleinpolder)        ,"                €1,350 per month            ",85 m²
Apartment Kwikstaartplein,            2352 HS Leiderdorp (De Vogelwijk)        ,                €925 per month            ,70 m²
